"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Mmaa","GSM2545349",1566,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,109136,"methylmalonic aciduria (cobalamin deficiency) type A, transcript variant X7","ENSMUSG00000037022","2810018E08Rik","8","protein_coding","decreased exploration in new environment","MMAA"
"Dleu2","GSM2545362",282,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,668253,"deleted in lymphocytic leukemia, 2","ENSMUSG00000097589","1810047A16Rik","14","lncRNA",NA,NA
"Slc17a9","GSM2545350",19,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,228993,"solute carrier family 17, member 9, transcript variant X4","ENSMUSG00000023393","1700019H03Rik","2","protein_coding","abnormal eye morphology","SLC17A9"
"Fibcd1","GSM2545338",39,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,98970,"fibrinogen C domain containing 1, transcript variant X2","ENSMUSG00000026841",NA,"2","protein_coding",NA,"FIBCD1"
"Cdc73","GSM2545342",906,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,214498,"cell division cycle 73, Paf1/RNA polymerase II complex component","ENSMUSG00000026361","8430414L16Rik","1","protein_coding","abnormal jaw morphology","CDC73"
"Ednrb","GSM2545337",5946,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,13618,"endothelin receptor type B, transcript variant 2","ENSMUSG00000022122","ETb","14","protein_coding","abnormal Deiters cell morphology","EDNRB"
"Bcas1","GSM2545347",3918,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,76960,"breast carcinoma amplified sequence 1, transcript variant X2","ENSMUSG00000013523","2210416M21Rik","2","protein_coding","abnormal lung morphology","BCAS1"
"Tbc1d25","GSM2545347",815,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,209815,"TBC1 domain family, member 25, transcript variant X1","ENSMUSG00000039201","6330576A08Rik","X","protein_coding","cardiac fibrosis","TBC1D25"
"Srebf1","GSM2545349",2386,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,20787,"sterol regulatory element binding transcription factor 1","ENSMUSG00000020538","ADD-1","11","protein_coding","abnormal triglyceride level","SREBF1"
"Vopp1","GSM2545350",2144,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,232023,"vesicular, overexpressed in cancer, prosurvival protein 1","ENSMUSG00000037788",NA,"6","protein_coding","abnormal startle reflex","VOPP1"
"Cep131","GSM2545380",1395,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,12009,"centrosomal protein 131, transcript variant X1","ENSMUSG00000039781","AZ1","11","protein_coding","abnormal epididymis morphology","CEP131"
"Ptprc","GSM2545338",91,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,19264,"protein tyrosine phosphatase, receptor type, C, transcript variant 3","ENSMUSG00000026395","B220","1","protein_coding","CNS inflammation","PTPRC"
"Cyp2d22","GSM2545349",2014,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,56448,"cytochrome P450, family 2, subfamily d, polypeptide 22, transcript variant 2","ENSMUSG00000061740","2D22","15","protein_coding","abnormal skin morphology","CYP2D6"
"B3galt2","GSM2545354",907,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,26878,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2","ENSMUSG00000033849",NA,"1","protein_coding","abnormal heart morphology","B3GALT2"
"Csrp1","GSM2545342",7375,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,13007,"cysteine and glycine-rich protein 1","ENSMUSG00000026421","CRP1","1","protein_coding","hypoactivity","CSRP1"
"Irgm1","GSM2545347",545,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,15944,"immunity-related GTPase family M member 1, transcript variant X1","ENSMUSG00000046879","Ifi1","11","protein_coding","abnormal eye morphology","IRGM"
"F5","GSM2545347",2002,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,14067,"coagulation factor V","ENSMUSG00000026579","Cf-5","1","protein_coding","abnormal blood coagulation","F5"
"Asic3","GSM2545380",95,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,171209,"acid-sensing (proton-gated) ion channel 3, transcript variant X4","ENSMUSG00000038276","Accn3","5","protein_coding","abnormal gallbladder morphology","ASIC3"
"Hsph1","GSM2545362",4581,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,15505,"heat shock 105kDa/110kDa protein 1, transcript variant X3","ENSMUSG00000029657","hsp-E7I","5","protein_coding","abnormal cell physiology","HSPH1"
"Atg16l1","GSM2545362",1942,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,77040,"autophagy related 16-like 1 (S. cerevisiae), transcript variant X2","ENSMUSG00000026289","1500009K01Rik","1","protein_coding","increased circulating serum albumin level","ATG16L1"
"Ssx2ip","GSM2545344",2854,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,99167,"synovial sarcoma, X breakpoint 2 interacting protein, transcript variant X2","ENSMUSG00000036825","Adip","3","protein_coding","decreased grip strength","SSX2IP"
"Slc22a4","GSM2545340",2468,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,30805,"solute carrier family 22 (organic cation transporter), member 4, transcript variant X3","ENSMUSG00000020334","Octn1","11","protein_coding","enlarged cecum","SLC22A4"
"Car4","GSM2545353",5883,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,12351,"carbonic anhydrase 4","ENSMUSG00000000805","CA IV","11","protein_coding","abnormal lens morphology","CA4"
"Tufm","GSM2545342",1177,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,233870,"Tu translation elongation factor, mitochondrial, transcript variant X1","ENSMUSG00000073838","2300002G02Rik","7","protein_coding","abnormal bone structure","TUFM"
"Cd180","GSM2545351",51,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,17079,"CD180 antigen","ENSMUSG00000021624","Ly78","13","protein_coding","abnormal humoral immune response","CD180"
"Fn1","GSM2545348",3694,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,14268,"fibronectin 1, transcript variant 7","ENSMUSG00000026193","Fn","1","protein_coding","abnormal amnion morphology","FN1"
"Pnma2","GSM2545339",578,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,239157,"paraneoplastic antigen MA2, transcript variant X2","ENSMUSG00000046204","A830049P17Rik","14","protein_coding","abnormal circulating aspartate transaminase level","PNMA2"
"Foxj2","GSM2545336",2585,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,60611,"forkhead box J2","ENSMUSG00000003154","Fhx","6","protein_coding",NA,"FOXJ2"
"Erich3","GSM2545380",788,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,209601,"glutamate rich 3, transcript variant X1","ENSMUSG00000078161","4922501L14Rik","3","protein_coding","abnormal eye morphology","ERICH3"
"Prkar2b","GSM2545348",812,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,19088,"protein kinase, cAMP dependent regulatory, type II beta, transcript variant X1","ENSMUSG00000002997","Pkarb2","12","protein_coding","abnormal energy expenditure","PRKAR2B"
"Mrpl30","GSM2545345",1128,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,107734,"mitochondrial ribosomal protein L30, transcript variant X2","ENSMUSG00000026087","2310001L22Rik","1","protein_coding",NA,"MRPL30"
"Cat","GSM2545346",1522,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,12359,"catalase","ENSMUSG00000027187","Cas-1","2","protein_coding","abnormal aerobic respiration","CAT"
"Rpl19-ps1","GSM2545363",4,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,100039695,NA,"ENSMUSG00000064281","ENSMUSG00000064281","1","processed_pseudogene",NA,NA
"Uty","GSM2545343",1732,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,22290,"ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome, transcript variant X10","ENSMUSG00000068457","Hydb","Y","protein_coding","no abnormal phenotype detected","UTY"
"Plekhm1","GSM2545348",1786,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,353047,"pleckstrin homology domain containing, family M (with RUN domain) member 1","ENSMUSG00000034247","AP162","11","protein_coding","abnormal optic disk morphology","PLEKHM1"
"Tpp2","GSM2545354",2998,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,22019,"tripeptidyl peptidase II, transcript variant X2","ENSMUSG00000041763","TppII","1","protein_coding","abnormal CD4-positive T cell differentiation","TPP2"
"Stac3","GSM2545351",103,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,237611,"SH3 and cysteine rich domain 3, transcript variant X1","ENSMUSG00000040287",NA,"10","protein_coding","abnormal Z line morphology","STAC3"
"Plekha6","GSM2545342",5163,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,240753,"pleckstrin homology domain containing, family A member 6, transcript variant X8","ENSMUSG00000041757","Pepp3","1","protein_coding",NA,"PLEKHA6"
"Vps4b","GSM2545354",2048,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,20479,"vacuolar protein sorting 4b (yeast)","ENSMUSG00000009907","8030489C12Rik","1","protein_coding",NA,"VPS4B"
"Selp","GSM2545338",0,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,20344,"selectin, platelet","ENSMUSG00000026580","CD62P","1","protein_coding","abnormal T cell physiology","SELP"
"Gja5","GSM2545339",14,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,14613,"gap junction protein, alpha 5, transcript variant 1","ENSMUSG00000057123","connexin 40","3","protein_coding","abnormal QRS complex","GJA5"
"Serpinb8","GSM2545380",95,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,20725,"serine (or cysteine) peptidase inhibitor, clade B, member 8, transcript variant X1","ENSMUSG00000026315","CAP-2","1","protein_coding",NA,"SERPINB8"
"Zfyve28","GSM2545363",3631,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,231125,"zinc finger, FYVE domain containing 28, transcript variant X1","ENSMUSG00000037224","9630058O20Rik","5","protein_coding","decreased circulating LDL cholesterol level","ZFYVE28"
"Zw10","GSM2545380",1664,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,26951,"zw10 kinetochore protein","ENSMUSG00000032264","6330566F14Rik","9","protein_coding",NA,"ZW10"
"Acadl","GSM2545350",2181,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,11363,"acyl-Coenzyme A dehydrogenase, long-chain","ENSMUSG00000026003","C79855","1","protein_coding","abnormal adaptive thermogenesis","ACADL"
"Epc1","GSM2545349",2972,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,13831,"enhancer of polycomb homolog 1 (Drosophila), transcript variant 1","ENSMUSG00000024240","2400007E14Rik","18","protein_coding","abnormal behavior","EPC1"
"Icosl","GSM2545339",429,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,50723,"icos ligand","ENSMUSG00000000732","B7-H2","10","protein_coding","abnormal T cell differentiation","ICOSLG"
"Smim8","GSM2545346",423,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,66291,"small integral membrane protein 8, transcript variant X3","ENSMUSG00000028295","1810030N24Rik","4","protein_coding","abnormal heart morphology","SMIM8"
"C4b","GSM2545351",1051,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,12268,"complement component 4B (Chido blood group), transcript variant X2","ENSMUSG00000073418","C4","17","protein_coding","decreased circulating alkaline phosphatase level","C4B"
"Ccdc93","GSM2545346",1161,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,70829,"coiled-coil domain containing 93, transcript variant 1","ENSMUSG00000026339","4633402D15Rik","1","protein_coding",NA,"CCDC93"
"Hs3st4","GSM2545341",42,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,628779,"heparan sulfate (glucosamine) 3-O-sulfotransferase 4","ENSMUSG00000078591","Gm6915","7","protein_coding",NA,"HS3ST4"
"Cacnb1","GSM2545354",738,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,12295,"calcium channel, voltage-dependent, beta 1 subunit, transcript variant 2","ENSMUSG00000020882","Cchb1","11","protein_coding","abnormal limb morphology","CACNB1"
"Dact2","GSM2545363",123,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,240025,"dapper homolog 2, antagonist of beta-catenin (xenopus), transcript variant X1","ENSMUSG00000048826","2900084M21Rik","17","protein_coding","abnormal coat/ hair morphology","DACT2"
"Dleu2","GSM2545345",468,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,668253,"deleted in lymphocytic leukemia, 2","ENSMUSG00000097589","1810047A16Rik","14","lncRNA",NA,NA
"Lrrc52","GSM2545354",3,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,240899,"leucine rich repeat containing 52","ENSMUSG00000040485","4930413P14Rik","1","protein_coding","abnormal sperm physiology","LRRC52"
"Rgs18","GSM2545352",9,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,64214,"regulator of G-protein signaling 18, transcript variant X1","ENSMUSG00000026357",NA,"1","protein_coding","abnormal bone marrow cell morphology/development","RGS18"
"Nop14","GSM2545362",1167,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,75416,"NOP14 nucleolar protein","ENSMUSG00000036693","2610033H07Rik","5","protein_coding",NA,"NOP14"
"Fbll1","GSM2545344",299,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,237730,"fibrillarin-like 1","ENSMUSG00000051062",NA,"11","protein_coding",NA,"FBLL1"
"Atp1b1","GSM2545350",71866,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,11931,"ATPase, Na+/K+ transporting, beta 1 polypeptide","ENSMUSG00000026576","Atpb","1","protein_coding","no abnormal phenotype detected","ATP1B1"
"Gm5830","GSM2545346",4,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,545332,NA,"ENSMUSG00000072978",NA,"1","processed_pseudogene",NA,NA
"Gm11605","GSM2545362",4,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,667644,NA,"ENSMUSG00000081643",NA,"1","processed_pseudogene",NA,NA
"H2-Q6","GSM2545337",27,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,110557,"histocompatibility 2, Q region locus 6, transcript variant X7","ENSMUSG00000073409","0610037M15Rik","17","protein_coding",NA,"HLA-E"
"Ndufa10","GSM2545340",3980,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,67273,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10","ENSMUSG00000026260","2900053E13Rik","1","protein_coding","abnormal bone structure","NDUFA10"
"Evpl","GSM2545346",49,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,14027,"envoplakin, transcript variant X1","ENSMUSG00000034282","210kDa protein","11","protein_coding","abnormal corneocyte envelope morphology","EVPL"
"Acadl","GSM2545343",2225,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,11363,"acyl-Coenzyme A dehydrogenase, long-chain","ENSMUSG00000026003","C79855","1","protein_coding","abnormal adaptive thermogenesis","ACADL"
"Herpud1","GSM2545344",2670,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,64209,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1, transcript variant X1","ENSMUSG00000031770","Herp","8","protein_coding","decreased cerebral infarction size","HERPUD1"
"Hsf4","GSM2545339",249,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,26386,"heat shock transcription factor 4, transcript variant X4","ENSMUSG00000033249","ldis1","8","protein_coding","cardiovascular system phenotype","HSF4"
"Gm28175","GSM2545348",22,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,102640173,"predicted gene 28175, transcript variant X6","ENSMUSG00000101299",NA,"1","lncRNA",NA,NA
"Slit1","GSM2545380",216,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,20562,"slit homolog 1 (Drosophila), transcript variant X1","ENSMUSG00000025020","Slil1","19","protein_coding",NA,"SLIT1"
"Dcaf12l2","GSM2545380",15,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,245403,"DDB1 and CUL4 associated factor 12-like 2","ENSMUSG00000050926","A130007F10Rik","X","protein_coding",NA,"DCAF12L2"
"Oxtr","GSM2545362",48,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,18430,"oxytocin receptor","ENSMUSG00000049112","OTR","6","protein_coding","abnormal brain morphology","OXTR"
"Tfap2b","GSM2545348",2016,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,21419,"transcription factor AP-2 beta, transcript variant 1","ENSMUSG00000025927","AP-2(beta)","1","protein_coding","increased cardiac muscle contractility","TFAP2B"
"Fam193b","GSM2545349",3055,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,212483,"family with sequence similarity 193, member B","ENSMUSG00000021495","IRIZIO","13","protein_coding",NA,"FAM193B"
"Gabrd","GSM2545363",7118,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,14403,"gamma-aminobutyric acid (GABA) A receptor, subunit delta","ENSMUSG00000029054",NA,"4","protein_coding","abnormal contextual conditioning behavior","GABRD"
"Cd55","GSM2545349",263,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,13136,"CD55 antigen, transcript variant X2","ENSMUSG00000026399","complement-glycosylphosphatidylinositol","1","protein_coding","abnormal complement pathway","CD55"
"Nbl1","GSM2545345",3412,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,17965,"neuroblastoma, suppression of tumorigenicity 1, transcript variant X2","ENSMUSG00000041120","D4H1S1733E","4","protein_coding","abnormal pain threshold","NBL1"
"Dgkb","GSM2545345",1090,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,217480,"diacylglycerol kinase, beta, transcript variant X2","ENSMUSG00000036095","C630029D13Rik","12","protein_coding","abnormal hippocampus neuron morphology","DGKB"
"Ptprv","GSM2545340",5,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,13924,"protein tyrosine phosphatase, receptor type, V","ENSMUSG00000097993","Esp","1","polymorphic_pseudogene","decreased circulating potassium level",NA
"Gm6822","GSM2545363",11,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,627998,NA,"ENSMUSG00000061863",NA,"1","processed_pseudogene",NA,NA
"Iigp1","GSM2545340",92,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,60440,"interferon inducible GTPase 1, transcript variant X2","ENSMUSG00000054072","2900074L10Rik","18","protein_coding","increased susceptibility to parasitic infection",NA
"Zfp451","GSM2545352",1438,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,98403,"zinc finger protein 451, transcript variant 2","ENSMUSG00000042197","4930515K21Rik","1","protein_coding","abnormal pancreas morphology","ZNF451"
"Pla2g3","GSM2545345",250,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,237625,"phospholipase A2, group III, transcript variant X2","ENSMUSG00000034579","9130003P18Rik","11","protein_coding","abnormal acrosome morphology","PLA2G3"
"Dennd1b","GSM2545336",1069,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,329260,"DENN/MADD domain containing 1B, transcript variant X1","ENSMUSG00000056268","4632404N19Rik","1","protein_coding","increased body length","DENND1B"
"Ttll4","GSM2545343",2300,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,67534,"tubulin tyrosine ligase-like family, member 4, transcript variant X2","ENSMUSG00000033257","4632407P03Rik","1","protein_coding","abnormal retina morphology","TTLL4"
"Zfp219","GSM2545343",7437,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,69890,"zinc finger protein 219, transcript variant 3","ENSMUSG00000049295","2010302A17Rik","14","protein_coding","increased bone mineral density","ZNF219"
"Tsen15","GSM2545339",551,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,66637,"tRNA splicing endonuclease 15 homolog (S. cerevisiae)","ENSMUSG00000014980","5730449L18Rik","1","protein_coding",NA,"TSEN15"
"Rtca","GSM2545345",1339,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,66368,"RNA 3'-terminal phosphate cyclase","ENSMUSG00000000339","2310009A18Rik","3","protein_coding","improved central nervous system regeneration","RTCA"
"D2hgdh","GSM2545349",453,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,98314,"D-2-hydroxyglutarate dehydrogenase, transcript variant X3","ENSMUSG00000073609",NA,"1","protein_coding",NA,"D2HGDH"
"Trim59","GSM2545351",646,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,66949,"tripartite motif-containing 59, transcript variant X6","ENSMUSG00000034317","2310035M22Rik","3","protein_coding","abnormal eye anterior chamber depth","TRIM59"
"Gm16070","GSM2545380",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,102634913,"predicted gene 16070","ENSMUSG00000085125",NA,"1","lncRNA",NA,NA
"Sema3e","GSM2545348",756,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,20349,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E","ENSMUSG00000063531","Semah","5","protein_coding","Bergmeister's papilla","SEMA3E"
"Nsun5","GSM2545363",686,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,100609,"NOL1/NOP2/Sun domain family, member 5, transcript variant X4","ENSMUSG00000000916","9830109N13Rik","5","protein_coding","decreased anxiety-related response","NSUN5"
"Clic4","GSM2545351",5280,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,29876,"chloride intracellular channel 4 (mitochondrial)","ENSMUSG00000037242","D0Jmb3","4","protein_coding","abnormal angiogenesis","CLIC4"
"H2-Q4","GSM2545352",227,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,15015,"histocompatibility 2, Q region locus 4, transcript variant X4","ENSMUSG00000035929","H-2Q4","17","protein_coding",NA,"HLA-E"
"Ccdc28b","GSM2545362",1559,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,66264,"coiled coil domain containing 28B","ENSMUSG00000028795","1110002E08Rik","4","protein_coding",NA,"CCDC28B"
"Otof","GSM2545349",116,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,83762,"otoferlin, transcript variant 3","ENSMUSG00000062372",NA,"5","protein_coding","abnormal cochlear hair cell stereociliary bundle morphology","OTOF"
"Snora75","GSM2545353",13,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,100303740,"small nucleolar RNA, H/ACA box 75","ENSMUSG00000064837","MBI-55","1","snoRNA",NA,"SNORA75"
"Atp1b1","GSM2545351",63790,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,11931,"ATPase, Na+/K+ transporting, beta 1 polypeptide","ENSMUSG00000026576","Atpb","1","protein_coding","no abnormal phenotype detected","ATP1B1"
"Gm17767","GSM2545339",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,100045066,"predicted gene, 17767, transcript variant X2","ENSMUSG00000099413",NA,"1","lncRNA",NA,NA
"Rab27b","GSM2545343",404,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,80718,"RAB27B, member RAS oncogene family, transcript variant X1","ENSMUSG00000024511","2310021G14Rik","18","protein_coding","abnormal sleep behavior","RAB27B"
"Casp12","GSM2545341",239,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,12364,"caspase 12, transcript variant X1","ENSMUSG00000025887",NA,"9","protein_coding","increased grip strength","CASP12"
"Tgfbrap1","GSM2545344",2385,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,73122,"transforming growth factor, beta receptor associated protein 1, transcript variant X3","ENSMUSG00000070939","3110018K12Rik","1","protein_coding",NA,"TGFBRAP1"
"Tph2","GSM2545363",26,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,216343,"tryptophan hydroxylase 2","ENSMUSG00000006764",NA,"10","protein_coding","abnormal autonomic nervous system physiology","TPH2"
"Rnf2","GSM2545350",1738,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,19821,"ring finger protein 2","ENSMUSG00000026484","dinG","1","protein_coding","abnormal embryonic epiblast morphology","RNF2"
"Ppp1r13b","GSM2545342",2961,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,21981,"protein phosphatase 1, regulatory (inhibitor) subunit 13B, transcript variant X1","ENSMUSG00000021285","ASPP1","12","protein_coding","abnormal lymph circulation","PPP1R13B"
"Kctd4","GSM2545336",188,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,67516,"potassium channel tetramerisation domain containing 4","ENSMUSG00000046523","2210017A09Rik","14","protein_coding",NA,"KCTD4"
"Gpr83","GSM2545343",75,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,14608,"G protein-coupled receptor 83, transcript variant X1","ENSMUSG00000031932","GIR","9","protein_coding","decreased CD4-positive alpha beta T cell number","GPR83"
"Gm7160","GSM2545337",19,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,635504,"predicted gene 7160, transcript variant X2","ENSMUSG00000099843",NA,"1","lncRNA",NA,NA
"Nid1","GSM2545351",764,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,18073,"nidogen 1","ENSMUSG00000005397","entactin","13","protein_coding","abnormal basement membrane morphology","NID1"
"Rorc","GSM2545341",1667,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,19885,"RAR-related orphan receptor gamma, transcript variant X3","ENSMUSG00000028150","RORgamma","3","protein_coding","abnormal CD4-positive alpha beta T cell morphology","RORC"
"Impact","GSM2545337",6706,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,16210,"impact, RWD domain protein, transcript variant X3","ENSMUSG00000024423","E430016J11Rik","18","protein_coding",NA,"IMPACT"
